Altium Designer Pick and Place Locations
D:\PXL\POW\PCB\altium\soldeerstation\Project Outputs for soldeerstation\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       08/05/20
Time:       13:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer    Footprint      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                              
X1         ABS25-32.768KHZ-6-T TopLayer X              2485.197      1600.000      180      "Low Frequency Crystal, 32.768 KHz, 6 pF, +/- 20 ppm, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"                                                    
T1         IRF9540NSPBF        TopLayer IRF9540NSPBF   2755.622      4459.101      0        "International Rectifier IRF9540NSPBF, MOSFET"                                                                                                           
R18        Res2                TopLayer R18            2677.520      3905.000      180      Resistor                                                                                                                                                 
D2         "Diode 10TQ035"     TopLayer DIODE2         3612.795      4315.000      180      "Schottky Rectifier"                                                                                                                                     
K2         K2                  TopLayer K2             1345.000      2256.318      180      ""                                                                                                                                                       
T4         NPN                 TopLayer BC857          1870.000      3484.056      180      "NPN Bipolar Transistor"                                                                                                                                 
T3         NPN                 TopLayer BC847          1875.000      3269.056      180      "NPN Bipolar Transistor"                                                                                                                                 
T2         NPN                 TopLayer BC847          1685.000      3484.056      180      "NPN Bipolar Transistor"                                                                                                                                 
R22        Res2                TopLayer 6-0805_M       2495.000      3574.056      90       Resistor                                                                                                                                                 
R21        Res2                TopLayer 6-0805_M       2440.000      3234.056      90       Resistor                                                                                                                                                 
R20        Res2                TopLayer 6-0805_M       2195.000      3559.056      0        Resistor                                                                                                                                                 
R19        Res2                TopLayer 6-0805_M       2050.000      3269.056      90       Resistor                                                                                                                                                 
R17        Res2                TopLayer 6-0805_M       1685.000      3279.056      90       Resistor                                                                                                                                                 
R16        Res2                TopLayer 6-0805_M       2360.000      1404.056      270      Resistor                                                                                                                                                 
R15        Res2                TopLayer 6-0805_M       2090.000      4215.000      180      Resistor                                                                                                                                                 
R14        Res2                TopLayer 6-0805_M       1865.630      4440.000      0        Resistor                                                                                                                                                 
R13        Res2                TopLayer 6-0805_M       2605.000      3234.056      90       Resistor                                                                                                                                                 
